text,label
e significant change principal business,valid
company conducted time consummation,invalid
closing merger,valid
f making loan advance entity,invalid
ordinary course business unless wholly owned,valid
company,invalid
g making loan advance person including,valid
without limitation employee director company,invalid
subsidiary except advances similar expenditures,valid
ordinary course business terms,invalid
employee stock option plan approved board,valid
directors investor,invalid
h guarantee directly indirectly indebtedness,valid
obligations except trade accounts subsidiary,invalid
arising ordinary course business,valid
liquidation dissolution recapitalization reorganization,invalid
company would require unanimous vote board,valid
closing condition series company agrees release approximately 780000,invalid
held escrow sds merchant fund upon closing sds shall,valid
lieu put back equivalent series stock per,invalid
agreement laid seriesd securities purchase,valid
agreement dated march 2003,invalid
terms,valid
transaction costs legal fees associated note oﬀering merger,invalid
paid proceeds note offering,valid
bsp receive fee 50000 shares common stock issued,invalid
newco upon consummation merger,valid
october 6 2004,invalid
board approval term sheet negotiated good faith,valid
investors companys management requires approval,invalid
companys board directors whose approval,valid
sought later october 31 2004,invalid
indemnification whether note oﬀering merger consummated,valid
company agrees indemnify hold harmless bsp,invalid
directors partners members managers oﬃcers employees,valid
agents collectively indemniﬁed parties,invalid
losses claims damages expenses,valid
liabilities may become subject insofar,invalid
losses claims damages expenses liabilities actions,valid
suits proceedings including inquiry investigation,invalid
claim respect thereof arise way relate,valid
result claim third party respect term,invalid
sheet transactions proposed herein whether,valid
indemniﬁed party party action proceeding,invalid
losses claims damages expenses liabilities,valid
arise reimburse indemniﬁed parties upon demand,invalid
reasonable expenses legal otherwise incurred,valid
connection therewith including costs incurred,invalid
investigating preparing defend defending otherwise,valid
participating claim action proceeding related,invalid
loss claim damage liability,valid
miscellaneous term sheet may signed counterparts,invalid
shall deemed original counterparts shall,valid
constitute one agreement party,invalid
breach binding provisions term sheet may,valid
terminate term sheet delivery written notice,invalid
party event termination parties,valid
hereto shall relieved liability hereunder except,invalid
breaches provisions prior termination except,valid
provisions captioned transaction costs,invalid
indemniﬁcation miscellaneous governing law shall,valid
survive termination,invalid
governing law h e binding provisions term sheet duties,valid
obligations rights arising herefrom shall governed,invalid
construed accordance laws state new york,valid
memorandum terms h term sheet set forth terms,invalid
conditions transactions proposed hereby rather,valid
outline summary format major points,invalid
understanding form basis ﬁnal,valid
documentation except provided paragraph,invalid
transaction costs indemniﬁcation miscellaneous,valid
governing law binding term sheet,invalid
constitute legally binding obligation parties hereto,valid
bsp may terminate discussions company time,invalid
respect matters proposed herein,valid
signatures next page,invalid
october 6 2004,valid
agreed accepted _________ day october 2004,invalid
level 8 systems inc,valid
title chief,invalid
financial officer,valid
sds merchant fund lp,invalid
delaware limited partnership,valid
b,invalid
,valid
n g n g,invalid
e b e r,valid
,invalid
c p l,valid
p r n e r,invalid
l l c,valid
name steven,invalid
title managing,valid
brown simpson partners ltd,invalid
name james,valid
title managing,invalid
